date,temperature_c,rainfall_mm,humidity_pct,soil_moisture_pct,heat_index,stress_level,risk_level
2023-04-24,34.2,2.5,66.8,36.2,22.85,Medium,Alert
2023-04-25,30.7,26.2,69.6,36.7,21.37,Medium,Alert
2023-04-26,35.4,27.6,69.0,53.5,24.43,High,Critical
2023-04-27,34.1,1.8,44.6,69.7,15.21,High,Critical
2023-04-28,21.7,8.3,83.9,53.1,18.21,Low,Safe
2023-04-29,35.9,24.2,53.3,47.9,19.13,High,Critical
2023-04-30,28.8,22.4,46.5,56.5,13.39,Low,Safe
2023-05-01,34.1,5.5,84.4,43.3,28.78,Medium,Alert
2023-05-02,35.9,6.3,87.8,23.0,31.52,Medium,Alert
2023-05-03,24.4,11.1,83.1,48.1,20.28,Low,Safe
2023-05-04,20.2,14.5,80.5,67.9,16.26,Low,Safe
2023-05-05,22.6,18.5,72.8,28.8,16.45,Medium,Alert
2023-05-06,26.5,11.1,67.5,54.5,17.89,Low,Safe
2023-05-07,34.4,13.9,44.3,30.0,15.24,Medium,Alert
2023-05-08,35.2,22.4,60.4,46.8,21.26,High,Critical
2023-05-09,18.1,1.1,58.6,24.8,10.61,Medium,Alert
2023-05-10,28.2,7.6,53.0,42.5,14.95,Medium,Alert
2023-05-11,26.3,21.4,76.2,57.8,20.04,Low,Safe
2023-05-12,22.4,26.9,64.8,37.4,14.52,Medium,Alert
2023-05-13,20.4,15.4,44.1,53.2,9.0,Low,Safe
2023-05-14,24.8,16.0,51.0,59.8,12.65,Low,Safe
2023-05-15,36.9,3.2,74.2,66.4,27.38,High,Critical
2023-05-16,24.5,13.4,43.8,31.7,10.73,Medium,Alert
2023-05-17,28.4,16.0,82.6,40.0,23.46,Medium,Alert
2023-05-18,32.1,7.3,64.8,27.6,20.8,Medium,Alert
2023-05-19,25.3,8.1,64.0,69.6,16.19,Low,Safe
2023-05-20,37.4,11.3,69.6,66.4,26.03,High,Critical
2023-05-21,37.2,0.6,81.2,47.0,30.21,High,Critical
2023-05-22,23.0,9.7,57.4,62.1,13.2,Low,Safe
2023-05-23,27.9,6.3,73.9,46.0,20.62,Low,Safe
2023-05-24,24.0,9.8,68.3,51.2,16.39,Low,Safe
2023-05-25,23.7,3.6,53.4,24.5,12.66,Medium,Alert
2023-05-26,18.7,26.7,83.9,57.8,15.69,Low,Safe
2023-05-27,30.2,17.8,79.9,26.4,24.13,Medium,Alert
2023-05-28,28.1,20.4,72.9,61.3,20.48,Low,Safe
2023-05-29,19.0,23.7,82.5,59.1,15.68,Low,Safe
2023-05-30,23.6,15.0,83.4,55.4,19.68,Low,Safe
2023-05-31,36.2,2.6,75.4,21.8,27.29,Medium,Alert
2023-06-01,22.8,16.1,81.9,35.2,18.67,Medium,Alert
2023-06-02,20.9,17.6,74.9,33.2,15.65,Medium,Alert
2023-06-03,27.8,22.4,74.0,38.0,20.57,Medium,Alert
2023-06-04,37.7,12.9,70.9,24.4,26.73,Medium,Alert
2023-06-05,22.8,3.8,77.6,66.8,17.69,Low,Safe
2023-06-06,31.4,8.5,47.9,47.7,15.04,Medium,Alert
2023-06-07,33.2,10.9,84.0,35.3,27.89,Medium,Alert
2023-06-08,22.8,19.4,83.6,39.8,19.06,Medium,Alert
2023-06-09,32.6,17.1,41.5,42.4,13.53,Medium,Alert
2023-06-10,25.4,10.7,81.3,50.0,20.65,Low,Safe
2023-06-11,30.6,29.6,46.4,45.8,14.2,Medium,Alert
2023-06-12,30.7,18.2,56.8,66.0,17.44,Medium,Alert
2023-06-13,28.7,7.1,77.2,44.8,22.16,Medium,Alert
2023-06-14,19.8,3.1,48.0,69.6,9.5,Low,Safe
2023-06-15,34.7,4.6,80.9,62.6,28.07,High,Critical
2023-06-16,24.4,7.4,81.6,30.4,19.91,Medium,Alert
2023-06-17,21.7,4.8,65.4,66.5,14.19,Low,Safe
2023-06-18,18.8,5.6,40.3,25.8,7.58,Medium,Alert
2023-06-19,29.8,8.6,54.4,60.9,16.21,Medium,Alert
2023-06-20,31.6,5.2,70.8,39.0,22.37,Medium,Alert
2023-06-21,18.3,26.9,89.1,63.9,16.31,Low,Safe
2023-06-22,28.2,2.4,71.6,63.4,20.19,Low,Safe
2023-06-23,22.5,15.7,53.0,60.3,11.92,Low,Safe
2023-06-24,30.9,12.3,71.7,59.5,22.16,Medium,Alert
2023-06-25,21.5,29.5,67.0,35.2,14.4,Medium,Alert
2023-06-26,31.8,3.4,79.0,24.0,25.12,Medium,Alert
2023-06-27,25.7,11.9,45.3,40.1,11.64,Medium,Alert
2023-06-28,36.7,29.1,78.1,28.7,28.66,Medium,Alert
2023-06-29,20.8,26.0,67.1,54.7,13.96,Low,Safe
2023-06-30,24.8,24.5,88.1,37.3,21.85,Medium,Alert
2023-07-01,20.3,7.7,57.1,68.8,11.59,Low,Safe
2023-07-02,36.5,5.1,71.6,52.0,26.13,High,Critical
2023-07-03,35.5,20.1,86.6,61.1,30.74,High,Critical
2023-07-04,23.2,27.9,45.1,26.6,10.46,Medium,Alert
2023-07-05,31.2,16.7,86.9,63.1,27.11,Medium,Alert
2023-07-06,34.3,17.1,74.4,66.1,25.52,High,Critical
2023-07-07,29.1,8.4,43.4,44.4,12.63,Medium,Alert
2023-07-08,28.6,23.1,55.0,50.3,15.73,Low,Safe
2023-07-09,22.8,5.6,75.4,58.2,17.19,Low,Safe
2023-07-10,19.9,9.7,43.4,28.7,8.64,Medium,Alert
2023-07-11,35.9,12.8,69.1,45.1,24.81,High,Critical
2023-07-12,36.0,15.2,57.3,39.9,20.63,Medium,Alert
2023-07-13,30.7,7.3,71.0,27.3,21.8,Medium,Alert
2023-07-14,24.8,3.4,42.3,38.4,10.49,Medium,Alert
2023-07-15,25.0,18.3,83.6,23.4,20.9,Medium,Alert
2023-07-16,32.5,8.7,88.7,21.3,28.83,Medium,Alert
2023-07-17,35.9,17.4,88.4,26.8,31.74,Medium,Alert
2023-07-18,35.7,4.6,77.5,68.2,27.67,High,Critical
2023-07-19,33.6,14.4,46.5,47.5,15.62,High,Critical
2023-07-20,30.8,16.0,77.9,68.3,23.99,Medium,Alert
2023-07-21,19.7,1.6,41.2,41.6,8.12,Medium,Alert
2023-07-22,21.2,10.1,41.1,35.6,8.71,Medium,Alert
2023-07-23,36.0,4.0,56.2,45.3,20.23,High,Critical
2023-07-24,30.1,1.9,64.4,42.0,19.38,Medium,Alert
2023-07-25,18.2,29.7,78.5,25.3,14.29,Medium,Alert
2023-07-26,20.0,9.7,74.2,52.0,14.84,Low,Safe
2023-07-27,31.3,24.3,62.3,30.8,19.5,Medium,Alert
2023-07-28,18.1,7.6,53.7,51.0,9.72,Low,Safe
2023-07-29,21.2,20.4,89.9,52.5,19.06,Low,Safe
2023-07-30,29.0,22.8,61.3,27.6,17.78,Medium,Alert
2023-07-31,31.8,17.9,62.6,23.1,19.91,Medium,Alert
2023-08-01,31.0,14.1,48.2,59.0,14.94,Medium,Alert
2023-08-02,22.5,12.4,79.7,43.0,17.93,Medium,Alert
2023-08-03,32.2,10.5,74.7,22.9,24.05,Medium,Alert
2023-08-04,22.7,27.9,51.0,69.7,11.58,Low,Safe
2023-08-05,24.5,24.9,44.1,22.9,10.8,Medium,Alert
2023-08-06,32.9,29.0,74.0,54.8,24.35,High,Critical
2023-08-07,31.0,3.7,72.7,69.2,22.54,Medium,Alert
2023-08-08,35.0,21.9,53.7,32.0,18.8,Medium,Alert
2023-08-09,31.2,28.2,87.5,27.1,27.3,Medium,Alert
2023-08-10,29.4,5.4,47.6,26.1,13.99,Medium,Alert
2023-08-11,19.9,2.0,61.6,35.2,12.26,Medium,Alert
2023-08-12,25.4,22.2,87.2,25.1,22.15,Medium,Alert
2023-08-13,23.3,17.2,61.0,54.6,14.21,Low,Safe
2023-08-14,22.9,25.3,71.9,23.1,16.47,Medium,Alert
2023-08-15,37.5,4.2,59.9,45.5,22.46,High,Critical
2023-08-16,25.9,23.9,53.7,69.8,13.91,Low,Safe
2023-08-17,35.8,6.0,89.2,60.7,31.93,High,Critical
2023-08-18,30.6,4.9,60.5,50.8,18.51,Medium,Alert
2023-08-19,33.9,4.9,84.7,35.3,28.71,Medium,Alert
2023-08-20,28.1,24.4,51.5,51.2,14.47,Low,Safe
2023-08-21,29.5,20.0,50.7,46.4,14.96,Medium,Alert
2023-08-22,27.9,15.7,41.6,41.3,11.61,Medium,Alert
2023-08-23,21.9,10.8,72.6,26.5,15.9,Medium,Alert
2023-08-24,32.4,26.3,58.4,64.3,18.92,High,Critical
2023-08-25,23.6,11.8,83.2,42.5,19.64,Medium,Alert
2023-08-26,18.5,24.5,63.7,29.7,11.78,Medium,Alert
2023-08-27,30.9,13.2,88.4,38.4,27.32,Medium,Alert
2023-08-28,21.5,11.3,49.3,40.7,10.6,Medium,Alert
2023-08-29,36.8,13.9,83.4,61.4,30.69,High,Critical
2023-08-30,37.1,9.0,78.8,56.7,29.23,High,Critical
2023-08-31,36.3,22.4,78.5,58.5,28.5,High,Critical
2023-09-01,25.4,15.1,82.2,20.6,20.88,Medium,Alert
2023-09-02,18.3,7.0,78.1,40.8,14.29,Medium,Alert
2023-09-03,36.6,27.0,71.3,44.1,26.1,Medium,Alert
2023-09-04,26.6,11.5,46.6,21.0,12.4,Medium,Alert
2023-09-05,37.3,16.3,41.6,33.0,15.52,Medium,Alert
2023-09-06,37.3,27.2,86.0,58.0,32.08,High,Critical
2023-09-07,35.1,18.7,70.8,26.9,24.85,Medium,Alert
2023-09-08,23.9,3.5,79.8,46.8,19.07,Low,Safe
2023-09-09,25.7,28.2,64.1,30.8,16.47,Medium,Alert
2023-09-10,35.0,18.8,45.9,20.6,16.07,Medium,Alert
2023-09-11,24.3,10.0,46.3,32.1,11.25,Medium,Alert
2023-09-12,21.4,4.2,74.3,68.8,15.9,Low,Safe
2023-09-13,29.1,23.8,61.5,60.1,17.9,Medium,Alert
2023-09-14,36.7,18.6,50.0,68.0,18.35,High,Critical
2023-09-15,31.9,16.0,64.6,44.4,20.61,Medium,Alert
2023-09-16,29.4,26.8,43.2,25.5,12.7,Medium,Alert
2023-09-17,19.9,23.7,69.1,47.4,13.75,Low,Safe
2023-09-18,30.3,4.6,53.4,42.7,16.18,Medium,Alert
2023-09-19,37.8,9.4,79.9,62.2,30.2,High,Critical
2023-09-20,20.8,7.5,55.5,24.9,11.54,Medium,Alert
2023-09-21,28.4,22.3,62.8,44.4,17.84,Medium,Alert
2023-09-22,35.5,1.0,40.6,27.5,14.41,Medium,Alert
2023-09-23,32.8,17.1,43.6,36.2,14.3,Medium,Alert
2023-09-24,31.9,22.9,59.6,56.9,19.01,Medium,Alert
2023-09-25,32.0,26.3,64.0,43.8,20.48,Medium,Alert
2023-09-26,25.2,10.3,70.0,38.8,17.64,Medium,Alert
2023-09-27,23.9,24.6,54.6,39.7,13.05,Medium,Alert
2023-09-28,34.2,3.3,74.7,43.0,25.55,Medium,Alert
2023-09-29,34.2,25.4,83.0,59.3,28.39,High,Critical
2023-09-30,35.3,3.8,79.0,64.6,27.89,High,Critical
2023-10-01,36.3,11.9,42.0,67.8,15.25,High,Critical
2023-10-02,28.2,23.9,64.0,59.3,18.05,Low,Safe
2023-10-03,28.0,4.5,45.2,35.8,12.66,Medium,Alert
2023-10-04,34.0,6.9,52.1,54.4,17.71,High,Critical
2023-10-05,31.0,21.7,89.3,41.9,27.68,Medium,Alert
2023-10-06,32.0,21.6,47.1,32.7,15.07,Medium,Alert
2023-10-07,33.9,19.2,64.9,62.0,22.0,High,Critical
2023-10-08,35.8,20.8,70.9,21.9,25.38,Medium,Alert
2023-10-09,24.8,16.3,75.1,65.1,18.62,Low,Safe
2023-10-10,25.5,7.6,68.0,43.1,17.34,Medium,Alert
2023-10-11,19.9,10.4,40.5,51.9,8.06,Low,Safe
2023-10-12,29.6,5.4,56.3,53.0,16.66,Medium,Alert
2023-10-13,18.7,27.3,65.9,64.8,12.32,Low,Safe
2023-10-14,27.3,17.5,44.4,51.8,12.12,Low,Safe
2023-10-15,28.9,12.0,57.5,50.7,16.62,Low,Safe
2023-10-16,23.7,13.9,41.7,23.3,9.88,Medium,Alert
2023-10-17,29.8,28.4,43.9,45.9,13.08,Medium,Alert
2023-10-18,18.6,4.6,59.8,27.5,11.12,Medium,Alert
2023-10-19,18.7,17.6,46.6,56.9,8.71,Low,Safe
2023-10-20,34.5,15.2,68.4,45.6,23.6,High,Critical
2023-10-21,25.2,18.3,74.5,54.0,18.77,Low,Safe
2023-10-22,20.5,0.5,80.0,22.1,16.4,Medium,Alert
2023-10-23,28.4,26.2,50.0,24.2,14.2,Medium,Alert
2023-10-24,33.4,28.0,48.4,55.8,16.17,High,Critical
2023-10-25,22.3,17.0,45.2,23.6,10.08,Medium,Alert
2023-10-26,30.5,20.9,71.8,23.6,21.9,Medium,Alert
2023-10-27,19.7,27.7,75.3,20.6,14.83,Medium,Alert
2023-10-28,19.0,21.2,41.6,67.8,7.9,Low,Safe
2023-10-29,28.6,4.6,86.8,56.9,24.82,Low,Safe
2023-10-30,28.8,17.3,42.6,37.7,12.27,Medium,Alert
2023-10-31,30.7,18.2,67.1,34.8,20.6,Medium,Alert
2023-11-01,32.5,12.7,75.5,37.5,24.54,Medium,Alert
2023-11-02,37.5,22.1,83.5,58.7,31.31,High,Critical
2023-11-03,28.3,28.0,75.7,53.1,21.42,Low,Safe
2023-11-04,24.5,27.8,80.1,29.3,19.62,Medium,Alert
2023-11-05,33.9,13.5,57.0,28.7,19.32,Medium,Alert
2023-11-06,23.4,3.4,80.7,24.9,18.88,Medium,Alert
2023-11-07,26.8,29.5,44.0,53.0,11.79,Low,Safe
2023-11-08,19.6,25.2,84.7,58.2,16.6,Low,Safe
2023-11-09,18.5,3.7,67.4,33.3,12.47,Medium,Alert
2023-11-10,37.3,27.6,80.9,21.0,30.18,Medium,Alert
2023-11-11,34.7,26.1,62.6,24.1,21.72,Medium,Alert
2023-11-12,31.9,15.6,72.2,68.4,23.03,Medium,Alert
2023-11-13,26.2,17.7,66.3,34.8,17.37,Medium,Alert
2023-11-14,21.5,12.0,76.6,58.5,16.47,Low,Safe
2023-11-15,21.1,1.6,44.1,51.2,9.31,Low,Safe
2023-11-16,23.0,10.1,43.0,39.1,9.89,Medium,Alert
2023-11-17,29.0,24.1,52.4,30.3,15.2,Medium,Alert
2023-11-18,32.3,0.1,48.0,26.1,15.5,Medium,Alert
2023-11-19,31.2,10.0,83.6,50.8,26.08,Medium,Alert
2023-11-20,23.6,11.9,51.0,58.7,12.04,Low,Safe
2023-11-21,37.1,16.1,88.8,52.2,32.94,High,Critical
2023-11-22,32.8,27.6,56.8,46.5,18.63,High,Critical
2023-11-23,29.1,10.4,49.1,22.1,14.29,Medium,Alert
2023-11-24,30.2,10.4,79.5,68.4,24.01,Medium,Alert
2023-11-25,26.4,22.1,72.9,59.9,19.25,Low,Safe
2023-11-26,23.0,13.6,64.9,34.6,14.93,Medium,Alert
2023-11-27,25.1,6.7,67.8,69.0,17.02,Low,Safe
2023-11-28,33.2,13.6,76.0,50.1,25.23,High,Critical
2023-11-29,18.3,4.2,51.4,49.1,9.41,Low,Safe
2023-11-30,20.3,5.3,89.8,57.4,18.23,Low,Safe
2023-12-01,18.9,15.0,88.7,60.6,16.76,Low,Safe
2023-12-02,18.8,12.6,72.5,52.8,13.63,Low,Safe
2023-12-03,35.1,27.4,50.0,26.4,17.55,Medium,Alert
2023-12-04,32.1,10.9,74.0,36.9,23.75,Medium,Alert
2023-12-05,27.5,17.4,43.6,66.4,11.99,Low,Safe
2023-12-06,20.0,19.0,41.5,31.2,8.3,Medium,Alert
2023-12-07,27.8,0.4,52.9,38.6,14.71,Medium,Alert
2023-12-08,27.5,19.9,63.1,41.6,17.35,Medium,Alert
2023-12-09,21.5,5.3,83.4,42.0,17.93,Medium,Alert
2023-12-10,26.7,28.8,76.4,50.6,20.4,Low,Safe
2023-12-11,26.0,4.5,77.1,67.2,20.05,Low,Safe
2023-12-12,30.3,12.4,61.3,32.0,18.57,Medium,Alert
2023-12-13,30.7,2.6,57.3,26.1,17.59,Medium,Alert
2023-12-14,18.9,29.9,58.6,29.9,11.08,Medium,Alert
2023-12-15,25.5,15.1,89.4,64.3,22.8,Low,Safe
2023-12-16,30.5,17.9,42.0,52.3,12.81,Medium,Alert
2023-12-17,28.1,2.0,83.4,34.3,23.44,Medium,Alert
2023-12-18,35.1,22.5,68.9,60.8,24.18,High,Critical
2023-12-19,31.2,6.3,61.9,63.1,19.31,Medium,Alert
2023-12-20,21.3,26.9,76.3,62.3,16.25,Low,Safe
2023-12-21,19.4,6.2,64.3,65.9,12.47,Low,Safe
2023-12-22,30.8,5.7,83.7,32.6,25.78,Medium,Alert
2023-12-23,18.5,1.1,85.0,57.8,15.72,Low,Safe
2023-12-24,29.7,14.2,61.1,43.0,18.15,Medium,Alert
2023-12-25,36.8,16.9,53.8,62.1,19.8,High,Critical
2023-12-26,29.5,2.0,69.6,56.4,20.53,Medium,Alert
2023-12-27,25.8,23.3,85.6,58.8,22.08,Low,Safe
2023-12-28,30.9,13.6,50.5,52.8,15.6,Medium,Alert
2023-12-29,27.2,15.7,71.1,28.9,19.34,Medium,Alert
2023-12-30,28.9,13.2,71.6,47.3,20.69,Low,Safe
2023-12-31,36.8,12.0,76.7,69.2,28.23,High,Critical
2024-01-01,25.7,16.8,46.6,66.9,11.98,Low,Safe
2024-01-02,37.2,4.7,75.8,22.2,28.2,Medium,Alert
2024-01-03,36.1,5.5,85.5,28.2,30.87,Medium,Alert
2024-01-04,21.9,25.9,49.0,26.6,10.73,Medium,Alert
2024-01-05,19.4,28.4,51.9,56.3,10.07,Low,Safe
2024-01-06,20.0,11.2,88.6,60.9,17.72,Low,Safe
2024-01-07,18.4,8.1,49.0,30.7,9.02,Medium,Alert
2024-01-08,19.9,19.3,82.7,45.3,16.46,Low,Safe
2024-01-09,31.7,12.3,64.6,62.0,20.48,Medium,Alert
2024-01-10,19.4,0.8,52.4,56.6,10.17,Low,Safe
2024-01-11,24.4,4.7,83.5,47.1,20.37,Low,Safe
2024-01-12,34.9,21.5,62.3,49.5,21.74,High,Critical
2024-01-13,18.5,19.8,65.7,45.4,12.15,Low,Safe
2024-01-14,34.3,0.8,58.0,34.9,19.89,Medium,Alert
2024-01-15,23.6,6.7,69.6,48.3,16.43,Low,Safe
2024-01-16,20.4,6.9,48.2,54.4,9.83,Low,Safe
2024-01-17,31.9,20.2,59.6,63.7,19.01,Medium,Alert
2024-01-18,30.6,0.6,88.5,51.8,27.08,Medium,Alert
2024-01-19,35.5,3.1,52.9,58.1,18.78,High,Critical
2024-01-20,32.7,24.0,72.8,28.0,23.81,Medium,Alert
2024-01-21,34.1,5.4,56.3,43.1,19.2,Medium,Alert
2024-01-22,23.6,19.6,78.7,20.5,18.57,Medium,Alert
2024-01-23,21.5,7.1,46.5,32.3,10.0,Medium,Alert
2024-01-24,33.0,3.0,88.5,56.3,29.2,High,Critical
2024-01-25,34.1,7.3,62.7,69.6,21.38,High,Critical
2024-01-26,37.8,21.7,51.8,25.0,19.58,Medium,Alert
2024-01-27,26.3,25.7,43.7,40.1,11.49,Medium,Alert
2024-01-28,25.4,24.9,48.5,60.0,12.32,Low,Safe
2024-01-29,33.5,11.9,66.0,30.2,22.11,Medium,Alert
2024-01-30,24.8,20.0,56.9,47.8,14.11,Low,Safe
2024-01-31,36.6,6.1,81.4,56.7,29.79,High,Critical
2024-02-01,35.2,8.8,61.5,50.8,21.65,High,Critical
2024-02-02,26.6,26.9,52.4,29.4,13.94,Medium,Alert
2024-02-03,33.0,0.4,70.9,37.8,23.4,Medium,Alert
2024-02-04,33.1,2.6,75.3,59.2,24.92,High,Critical
2024-02-05,20.1,6.2,48.4,47.7,9.73,Low,Safe
2024-02-06,36.1,0.8,48.4,20.3,17.47,Medium,Alert
2024-02-07,28.1,5.4,41.8,58.0,11.75,Low,Safe
2024-02-08,34.5,17.5,76.8,21.8,26.5,Medium,Alert
